# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: sdss_u, datatype: float64}
# - {name: sdss_g, datatype: float64}
# - {name: sdss_r, datatype: float64}
# - {name: sdss_i, datatype: float64}
# - {name: sdss_z, datatype: float64}
# - {name: Clear, datatype: float64}
# - {name: johnson_B, datatype: float64}
# - {name: johnson_V, datatype: float64}
# - {name: johnson_R, datatype: float64}
# - {name: johnson_I, datatype: float64}
# - {name: ukirt_J, datatype: float64}
# - {name: ukirt_H, datatype: float64}
# - {name: ukirt_K, datatype: float64}
# meta: !!omap
# - comment: [M=-16.775510204081634, dM=0.08988160392874614]
# schema: astropy-2.0
time sdss_u sdss_g sdss_r sdss_i sdss_z Clear johnson_B johnson_V johnson_R johnson_I ukirt_J ukirt_H ukirt_K
0.0 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634 -16.775510204081634
0.07537688442211055 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062 -16.76873520881062
0.1507537688442211 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613 -16.761960213539613
0.22613065326633164 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686 -16.7551852182686
0.3015075376884422 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588 -16.748410222997588
0.37688442211055273 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658 -16.74163522772658
0.4522613065326633 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567 -16.734860232455567
0.5276381909547738 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456 -16.72808523718456
0.6030150753768844 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546 -16.721310241913546
0.6783919597989949 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534 -16.714535246642534
